p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.1,0.0,0,0.0036842988243241744,0.10081,0.09879,0.10339
0.1,0.0,1,-0.0029116985676964843,0.09945,0.09976,0.10099
0.1,0.0,2,0.0008352780749191876,0.09979,0.09916,0.09979
0.1,0.0,3,0.003902255032817573,0.09886,0.10144,0.10051
0.1,0.0,4,0.0018232047458956377,0.09805,0.09972,0.097
0.1,0.0,5,0.0015486435028045815,0.09916,0.09935,0.10059
0.1,0.0,6,0.0066018027225945115,0.09836,0.10123,0.10052
0.1,0.0,7,-0.002191043792757792,0.1004,0.09887,0.09908
0.1,0.0,8,-0.002830866807592547,0.10111,0.09905,0.1003
0.1,0.0,9,0.0009551889486853634,0.10176,0.10017,0.09934
0.1,0.0,10,0.0006565451653428117,0.09956,0.09985,0.10084
0.1,0.0,11,-0.005198535529396384,0.10016,0.10094,0.10057
0.1,0.0,12,-0.0027303070307181073,0.10059,0.09927,0.09892
0.1,0.0,13,0.0032356389667353796,0.09974,0.09916,0.09952
0.1,0.0,14,0.002612696457062922,0.09893,0.10063,0.10072
0.1,0.0,15,-0.0028447308386916055,0.09876,0.10101,0.09941
0.1,0.0,16,-0.00099955091201878,0.09909,0.10031,0.10029
0.1,0.0,17,-0.000712601562674373,0.09985,0.09979,0.10182
0.1,0.0,18,0.004396691359843413,0.10023,0.09795,0.09981
0.1,0.0,19,-0.00012219840511890802,0.10005,0.10026,0.09954
0.1,0.0,20,-0.0013717442392902253,0.09997,0.10097,0.09937
0.1,0.0,21,0.00037198538302202666,0.09905,0.10042,0.09952
0.1,0.0,22,0.003142697435495483,0.1012,0.09986,0.09998
0.1,0.0,23,-0.0005640919229715,0.10134,0.10096,0.09882
0.1,0.0,24,-0.0023817204963133584,0.09996,0.10069,0.09885
0.1,0.0,25,0.00024000947981998657,0.09896,0.10053,0.10147
0.1,0.0,26,-0.00545739031557187,0.09977,0.10014,0.10069
0.1,0.0,27,0.0045381728194685495,0.09933,0.10069,0.10238
0.1,0.0,28,-0.0019836542265320705,0.10042,0.10037,0.09896
0.1,0.0,29,-0.0002779921046827897,0.10018,0.10057,0.09856
0.1,0.25,0,0.25548231259005627,0.10022,0.09932,0.10339
0.1,0.25,1,0.24999427981324196,0.09927,0.09903,0.10099
0.1,0.25,2,0.24985720029283293,0.09905,0.09896,0.09979
0.1,0.25,3,0.24842305725700844,0.09827,0.10004,0.10051
0.1,0.25,4,0.2567601851906798,0.09814,0.09935,0.097
0.1,0.25,5,0.24643150496105642,0.0997,0.09955,0.10059
0.1,0.25,6,0.2542738926850814,0.0982,0.1004,0.10052
0.1,0.25,7,0.2480346509922958,0.10085,0.09964,0.09908
0.1,0.25,8,0.250290939881814,0.09994,0.09933,0.1003
0.1,0.25,9,0.24662951726611568,0.10055,0.09952,0.09934
0.1,0.25,10,0.24950958457768235,0.09976,0.09976,0.10084
0.1,0.25,11,0.244391909468474,0.09973,0.10065,0.10057
0.1,0.25,12,0.24604699228765703,0.09965,0.09932,0.09892
0.1,0.25,13,0.2490129963327335,0.09941,0.09928,0.09952
0.1,0.25,14,0.2522333362591656,0.09823,0.10018,0.10072
0.1,0.25,15,0.24905264941094765,0.09968,0.10075,0.09941
0.1,0.25,16,0.25240895602894103,0.09934,0.10023,0.10029
0.1,0.25,17,0.25207318779918064,0.09953,0.09959,0.10182
0.1,0.25,18,0.26101208722618224,0.10097,0.09918,0.09981
0.1,0.25,19,0.25521814724540004,0.10057,0.10047,0.09954
0.1,0.25,20,0.2464509448461942,0.1016,0.10116,0.09937
0.1,0.25,21,0.25126389332901833,0.10011,0.10037,0.09952
0.1,0.25,22,0.25615436998731134,0.10155,0.09982,0.09998
0.1,0.25,23,0.2461939666788115,0.10216,0.10122,0.09882
0.1,0.25,24,0.25208226559607727,0.10012,0.10064,0.09885
0.1,0.25,25,0.2478476431604856,0.09887,0.09949,0.10147
0.1,0.25,26,0.2435612160950096,0.09933,0.09874,0.10069
0.1,0.25,27,0.2570023078130436,0.09995,0.10079,0.10238
0.1,0.25,28,0.2546349533789631,0.10145,0.10079,0.09896
0.1,0.25,29,0.24381806250419105,0.09984,0.09918,0.09856
0.1,0.5,0,0.4989377703593248,0.09992,0.0987,0.10339
0.1,0.5,1,0.5014237326508733,0.0995,0.09871,0.10099
0.1,0.5,2,0.5037846872147258,0.09929,0.09958,0.09979
0.1,0.5,3,0.4993217710062301,0.09814,0.09906,0.10051
0.1,0.5,4,0.503752982106829,0.09931,0.09937,0.097
0.1,0.5,5,0.49851634328546546,0.09924,0.0986,0.10059
0.1,0.5,6,0.500896642836466,0.09727,0.09917,0.10052
0.1,0.5,7,0.49920980887072447,0.09985,0.09982,0.09908
0.1,0.5,8,0.4982034248949842,0.09915,0.09905,0.1003
0.1,0.5,9,0.49643785023299447,0.10175,0.10103,0.09934
0.1,0.5,10,0.4985913149201077,0.09957,0.09915,0.10084
0.1,0.5,11,0.4982443337249383,0.09921,0.10005,0.10057
0.1,0.5,12,0.49991871232500185,0.09931,0.09888,0.09892
0.1,0.5,13,0.500112163806563,0.09983,0.10017,0.09952
0.1,0.5,14,0.5068413042815053,0.10071,0.10112,0.10072
0.1,0.5,15,0.49846397598082204,0.10058,0.10095,0.09941
0.1,0.5,16,0.5016808455096209,0.09975,0.10048,0.10029
0.1,0.5,17,0.504382159959864,0.10054,0.10034,0.10182
0.1,0.5,18,0.5078137331223626,0.10085,0.10036,0.09981
0.1,0.5,19,0.49876814184519824,0.10012,0.09945,0.09954
0.1,0.5,20,0.49410296742317317,0.10044,0.10057,0.09937
0.1,0.5,21,0.4930930897016933,0.10023,0.10028,0.09952
0.1,0.5,22,0.49813690138995403,0.10039,0.09884,0.09998
0.1,0.5,23,0.49362971657859406,0.10059,0.10127,0.09882
0.1,0.5,24,0.49743100536061535,0.10035,0.10049,0.09885
0.1,0.5,25,0.49896523280787025,0.09892,0.09922,0.10147
0.1,0.5,26,0.49984042858021516,0.09928,0.0987,0.10069
0.1,0.5,27,0.5007820384536937,0.10063,0.1015,0.10238
0.1,0.5,28,0.5022515626870888,0.10108,0.10097,0.09896
0.1,0.5,29,0.4916232220677927,0.1,0.09887,0.09856
0.1,0.75,0,0.7515657071933475,0.09941,0.09909,0.10339
0.1,0.75,1,0.750334224090893,0.09879,0.09906,0.10099
0.1,0.75,2,0.7511615605447409,0.09925,0.09934,0.09979
0.1,0.75,3,0.7485313519372851,0.09866,0.09844,0.10051
0.1,0.75,4,0.7541420914593069,0.09972,0.0998,0.097
0.1,0.75,5,0.7495010337367322,0.0987,0.09876,0.10059
0.1,0.75,6,0.7512111064082824,0.09805,0.09828,0.10052
0.1,0.75,7,0.7522893824057402,0.10018,0.09988,0.09908
0.1,0.75,8,0.7521057680629227,0.10047,0.10018,0.1003
0.1,0.75,9,0.745477991391817,0.10024,0.10033,0.09934
0.1,0.75,10,0.7496843119583423,0.09916,0.09906,0.10084
0.1,0.75,11,0.7469408656298442,0.10036,0.10018,0.10057
0.1,0.75,12,0.7525746728801427,0.09903,0.09972,0.09892
0.1,0.75,13,0.744323480082443,0.09936,0.09941,0.09952
0.1,0.75,14,0.7522342515384671,0.10037,0.10095,0.10072
0.1,0.75,15,0.7508937656972111,0.0992,0.0991,0.09941
0.1,0.75,16,0.7513338028823755,0.0999,0.10015,0.10029
